location,month,day,date,time_block,weather,traffic_indicator
begum_rokeya,apr,fri,1,a,1,3
begum_rokeya,apr,fri,1,b,1,3
begum_rokeya,apr,fri,1,c,1,3
begum_rokeya,apr,fri,1,d,1,3
begum_rokeya,apr,fri,1,e,1,3
begum_rokeya,apr,fri,1,f,1,3
begum_rokeya,apr,mon,1,a,1,3
begum_rokeya,apr,mon,1,b,1,3
begum_rokeya,apr,mon,1,c,1,3
begum_rokeya,apr,mon,1,d,1,3
begum_rokeya,apr,mon,1,e,1,3
begum_rokeya,apr,mon,1,f,1,3
begum_rokeya,apr,thu,1,a,1,3
begum_rokeya,apr,thu,1,b,1,3
begum_rokeya,apr,thu,1,c,1,3
begum_rokeya,apr,thu,1,d,1,3
begum_rokeya,apr,thu,1,e,1,3
begum_rokeya,apr,thu,1,f,1,3
begum_rokeya,apr,wed,1,a,1,3
begum_rokeya,apr,wed,1,b,1,3
begum_rokeya,apr,wed,1,c,1,3
begum_rokeya,apr,wed,1,d,1,3
begum_rokeya,apr,wed,1,e,1,3
begum_rokeya,apr,wed,1,f,1,3
begum_rokeya,apr,fri,2,a,1,3
begum_rokeya,apr,fri,2,b,1,3
begum_rokeya,apr,fri,2,c,1,3
begum_rokeya,apr,fri,2,d,1,3
begum_rokeya,apr,fri,2,e,1,3
begum_rokeya,apr,fri,2,f,1,3
begum_rokeya,apr,sat,2,a,1,3
begum_rokeya,apr,sat,2,b,1,3
begum_rokeya,apr,sat,2,c,1,3
begum_rokeya,apr,sat,2,d,1,3
begum_rokeya,apr,sat,2,e,1,3
begum_rokeya,apr,sat,2,f,1,3
begum_rokeya,apr,thu,2,a,1,3
begum_rokeya,apr,thu,2,b,1,3
begum_rokeya,apr,thu,2,c,1,3
begum_rokeya,apr,thu,2,d,1,3
begum_rokeya,apr,thu,2,e,1,3
begum_rokeya,apr,thu,2,f,1,3
begum_rokeya,apr,tue,2,a,1,3
begum_rokeya,apr,tue,2,b,1,3
begum_rokeya,apr,tue,2,c,1,3
begum_rokeya,apr,tue,2,d,1,3
begum_rokeya,apr,tue,2,e,1,3
begum_rokeya,apr,tue,2,f,1,3
begum_rokeya,apr,fri,3,a,1,3
begum_rokeya,apr,fri,3,b,1,3
begum_rokeya,apr,fri,3,c,1,3
begum_rokeya,apr,fri,3,d,1,3
begum_rokeya,apr,fri,3,e,1,3
begum_rokeya,apr,fri,3,f,1,3
begum_rokeya,apr,sat,3,a,1,3
begum_rokeya,apr,sat,3,b,1,3
begum_rokeya,apr,sat,3,c,1,3
